"unique_id","Club"
2130,"CF410"
2140,"CF410"
2151,"CF242"
2163,"CF102"
2166,"CF103"
2221,"CF420"
2223,"CF125"
2226,"CF111"
2243,"CF111"
2304,"CF249"
2305,"CF402"
2306,"CF105"
2341,"CF408"
2380,"CF103"
2406,"CF420"
2410,"CF229"
2431,"CF123"
2465,"CF123"
2501,"CF128"
2504,"CF404"
2511,"CF209"
2538,"CF125"
2542,"CF128"
2585,"CF401"
2591,"CF242"
2596,"CF242"
2611,"CF123"
2613,"CF111"
2664,"CF133"
2665,"CF603"
2694,"CF121"
2707,"CF229"
2714,"CF132"
2725,"CF604"
2726,"CF132"
2743,"CF111"
2808,"CF209"
2819,"CF109"
2826,"CF413"
2844,"CF129"
2847,"CF114"
2855,"CF124"
2856,"CF242"
2862,"CF132"
2865,"CF242"
2892,"CF604"
2930,"CF408"
2935,"CF245"
2942,"CF108"
2945,"CF403"
3002,"CF420"
3062,"CF604"
3100,"CF403"
3101,"CF111"
3152,"CF403"
3171,"CF101"
3185,"CF111"
3233,"CF111"
3239,"CF126"
3242,"CF126"
3259,"CF402"
3270,"CF133"
3280,"CF605"
3285,"CF133"
3314,"CF103"
3315,"CF111"
3323,"CF242"
3334,"CF402"
3336,"CF123"
3342,"CF245"
3353,"CF115"
3364,"CF202"
3378,"CF124"
3405,"CF413"
3418,"CF111"
3423,"CF109"
3424,"CF420"
3436,"CF218"
3446,"CF261"
3460,"CF125"
3461,"CF402"
3484,"CF221"
3493,"CF221"
3499,"CF109"
3513,"CF413"
3514,"CF209"
3520,"CF242"
3521,"CF123"
3532,"CF111"
3537,"CF125"
3568,"CF132"
3576,"CF413"
3580,"CF233"
3599,"CF413"
3606,"CF420"
3625,"CF211"
3639,"CF604"
3673,"CF111"
3676,"CF121"
3683,"CF242"
3684,"CF420"
3695,"CF111"
3711,"CF221"
3712,"CF245"
3724,"CF212"
3746,"CF242"
3759,"CF127"
3761,"CF402"
3763,"CF402"
3799,"CF111"
3803,"CF111"
3804,"CF245"
3812,"CF213"
3836,"CF403"
3839,"CF213"
3842,"CF213"
3855,"CF218"
3874,"CF401"
3876,"CF245"
3877,"CF245"
3900,"CF404"
3910,"CF132"
3920,"CF413"
3922,"CF604"
3975,"CF402"
3981,"CF403"
3982,"CF242"
3985,"CF111"
3992,"CF125"
3995,"CF202"
4017,"CF217"
4023,"CF420"
4039,"CF111"
4041,"CF110"
4077,"CF406"
4092,"CF404"
4093,"CF601"
4100,"CF601"
4112,"CF101"
4131,"CF125"
4136,"CF221"
4148,"CF402"
4169,"CF604"
4186,"CF132"
4188,"CF402"
4190,"CF604"
4193,"CF604"
4195,"CF601"
4215,"CF128"
4224,"CF404"
4268,"CF132"
4273,"CF126"
4279,"CF245"
4291,"CF123"
4298,"CF245"
4315,"CF111"
4319,"CF242"
4323,"CF132"
4324,"CF407"
4395,"CF410"
4407,"CF219"
4413,"CF111"
4414,"CF258"
4418,"CF406"
4422,"CF249"
4439,"CF242"
4462,"CF101"
4491,"CF105"
4501,"CF410"
4557,"CF125"
4585,"CF123"
4602,"CF133"
4623,"CF110"
4630,"CF133"
4642,"CF123"
4646,"CF132"
4651,"CF123"
4677,"CF123"
4714,"CF402"
4717,"CF105"
4719,"CF111"
4730,"CF252"
4735,"CF123"
4745,"CF121"
4758,"CF125"
4761,"CF501"
4780,"CF111"
4781,"CF221"
4790,"CF250"
4808,"CF132"
4834,"CF413"
4855,"CF402"
4857,"CF125"
4863,"CF417"
4875,"CF123"
4890,"CF242"
4891,"CF410"
4895,"CF128"
4897,"CF265"
4925,"CF242"
4926,"CF111"
4930,"CF109"
4947,"CF202"
4952,"CF402"
4960,"CF132"
4964,"CF402"
4972,"CF232"
4974,"CF125"
4997,"CF109"
5009,"CF408"
5012,"CF111"
5018,"CF133"
5021,"CF105"
5032,"CF229"
5045,"CF111"
5071,"CF101"
5075,"CF402"
5088,"CF202"
5098,"CF604"
5113,"CF111"
5114,"CF407"
5129,"CF123"
5141,"CF403"
5167,"CF111"
5214,"CF604"
5222,"CF402"
5245,"CF128"
5263,"CF604"
5268,"CF242"
5273,"CF101"
5276,"CF413"
5277,"CF105"
5287,"CF111"
5290,"CF604"
5296,"CF123"
5297,"CF119"
5313,"CF111"
5328,"CF408"
5382,"CF111"
5397,"CF209"
5403,"CF407"
5410,"CF407"
5413,"CF117"
5426,"CF232"
5432,"CF221"
5435,"CF402"
5451,"CF103"
5482,"CF133"
5488,"CF265"
5499,"CF209"
5559,"CF111"
5563,"CF109"
5569,"CF410"
5606,"CF111"
5613,"CF242"
5630,"CF123"
5632,"CF403"
5639,"CF605"
5644,"CF111"
5655,"CF413"
5662,"CF206"
5692,"CF201"
5703,"CF402"
5710,"CF410"
5715,"CF115"
5751,"CF101"
5759,"CF105"
5771,"CF252"
5800,"CF114"
5812,"CF109"
5813,"CF133"
5814,"CF601"
5815,"CF229"
5828,"CF413"
5830,"CF401"
5833,"CF111"
5840,"CF604"
5859,"CF111"
5878,"CF257"
5881,"CF124"
5893,"CF119"
5912,"CF245"
5913,"CF123"
5939,"CF219"
5941,"CF108"
5955,"CF111"
5971,"CF204"
5976,"CF413"
5979,"CF601"
5989,"CF261"
6003,"CF114"
6014,"CF408"
6016,"CF117"
6025,"CF123"
6029,"CF111"
6038,"CF403"
6040,"CF245"
6047,"CF222"
6048,"CF604"
6052,"CF125"
6053,"CF604"
6078,"CF252"
6106,"CF206"
6107,"CF406"
6114,"CF123"
6122,"CF245"
6146,"CF406"
6149,"CF420"
6150,"CF229"
6164,"CF111"
6237,"CF245"
6249,"CF242"
6260,"CF242"
6271,"CF410"
6309,"CF111"
6327,"CF123"
6346,"CF123"
6375,"CF420"
6382,"CF420"
6400,"CF123"
6404,"CF124"
6418,"CF128"
6428,"CF410"
6430,"CF128"
6451,"CF403"
6463,"CF111"
6482,"CF604"
6490,"CF415"
6494,"CF111"
6498,"CF125"
6507,"CF101"
6548,"CF229"
6577,"CF111"
6583,"CF261"
6640,"CF405"
6674,"CF410"
6684,"CF126"
6686,"CF123"
6697,"CF242"
6766,"CF117"
6800,"CF410"
6812,"CF101"
6824,"CF242"
6855,"CF401"
6858,"CF128"
6868,"CF604"
6901,"CF111"
6914,"CF121"
6918,"CF408"
6979,"CF228"
6983,"CF405"
6998,"CF601"
7040,"CF108"
7059,"CF124"
7071,"CF410"
7072,"CF111"
7073,"CF111"
7081,"CF132"
7116,"CF401"
7128,"CF129"
7142,"CF115"
7147,"CF123"
7164,"CF232"
7169,"CF111"
7190,"CF601"
7215,"CF132"
7234,"CF233"
7247,"CF229"
7284,"CF125"
7292,"CF111"
7296,"CF221"
7299,"CF420"
7301,"CF111"
7317,"CF123"
7328,"CF128"
7331,"CF133"
7354,"CF123"
7365,"CF212"
7396,"CF111"
7397,"CF242"
7401,"CF410"
7413,"CF258"
7489,"CF221"
7516,"CF229"
7517,"CF410"
7548,"CF123"
7551,"CF201"
7563,"CF420"
7580,"CF119"
7586,"CF111"
7587,"CF410"
7610,"CF125"
7612,"CF245"
7632,"CF604"
7641,"CF221"
7681,"CF106"
7695,"CF413"
7712,"CF403"
7718,"CF109"
7732,"CF103"
7735,"CF123"
7740,"CF117"
7759,"CF402"
7762,"CF221"
7773,"CF105"
7788,"CF123"
7821,"CF604"
7837,"CF205"
7844,"CF221"
7845,"CF413"
7915,"CF111"
7916,"CF105"
7926,"CF105"
7938,"CF123"
7944,"CF117"
7945,"CF201"
7961,"CF109"
7969,"CF132"
7971,"CF232"
7984,"CF111"
8012,"CF101"
8018,"CF604"
8025,"CF218"
8028,"CF218"
8058,"CF404"
8112,"CF126"
8126,"CF109"
8148,"CF117"
8177,"CF252"
8192,"CF413"
8204,"CF111"
8225,"CF115"
8233,"CF124"
8253,"CF125"
8257,"CF113"
8260,"CF417"
8267,"CF402"
8274,"CF117"
8287,"CF123"
8288,"CF133"
8296,"CF402"
8304,"CF402"
8319,"CF402"
8320,"CF404"
8352,"CF133"
8359,"CF126"
8363,"CF242"
8366,"CF404"
8380,"CF111"
8424,"CF245"
8425,"CF111"
8466,"CF115"
8470,"CF221"
8525,"CF109"
8530,"CF229"
8569,"CF111"
8574,"CF111"
8585,"CF405"
8591,"CF242"
8617,"CF115"
8623,"CF204"
8632,"CF402"
8639,"CF213"
8671,"CF111"
8684,"CF109"
8695,"CF111"
8697,"CF413"
8712,"CF125"
8763,"CF111"
8797,"CF109"
8800,"CF113"
8812,"CF413"
8813,"CF402"
8831,"CF111"
8907,"CF604"
8914,"CF413"
8915,"CF218"
8950,"CF214"
8965,"CF105"
8975,"CF111"
8995,"CF109"
9002,"CF218"
9034,"CF402"
9062,"CF126"
9070,"CF111"
9087,"CF132"
9102,"CF123"
9118,"CF229"
9145,"CF117"
9151,"CF261"
9166,"CF111"
9174,"CF413"
9176,"CF111"
9180,"CF404"
9186,"CF604"
9196,"CF413"
9198,"CF245"
9201,"CF242"
9211,"CF604"
9213,"CF133"
9218,"CF111"
9241,"CF242"
9278,"CF204"
9285,"CF218"
9290,"CF221"
9298,"CF401"
9308,"CF111"
9311,"CF112"
9317,"CF111"
9328,"CF261"
9334,"CF604"
9340,"CF129"
9359,"CF126"
9364,"CF111"
9368,"CF245"
9378,"CF402"
9391,"CF125"
9401,"CF262"
9406,"CF133"
9409,"CF402"
9418,"CF123"
9440,"CF122"
9457,"CF128"
9466,"CF105"
9494,"CF117"
9514,"CF133"
9521,"CF111"
9530,"CF103"
9532,"CF245"
9535,"CF123"
9579,"CF123"
9580,"CF123"
9581,"CF128"
9588,"CF413"
9598,"CF111"
9607,"CF604"
9610,"CF115"
9612,"CF233"
9626,"CF402"
9631,"CF115"
9646,"CF402"
9665,"CF402"
9668,"CF124"
9683,"CF408"
9684,"CF403"
9700,"CF242"
9701,"CF601"
9710,"CF119"
9720,"CF103"
9731,"CF125"
9739,"CF111"
9756,"CF245"
9761,"CF210"
9772,"CF245"
9779,"CF124"
9781,"CF108"
9782,"CF401"
9799,"CF402"
9817,"CF402"
9825,"CF111"
9829,"CF105"
9837,"CF402"
9841,"CF402"
9849,"CF101"
9866,"CF111"
9890,"CF123"
9906,"CF233"
9908,"CF242"
9912,"CF604"
9937,"CF601"
9940,"CF123"
9977,"CF111"
9990,"CF109"
9997,"CF113"
9999,"CF604"
10009,"CF117"
10031,"CF111"
10052,"CF132"
10088,"CF604"
10094,"CF109"
10117,"CF123"
10147,"CF245"
10156,"CF604"
10159,"CF105"
10165,"CF111"
10200,"CF111"
10204,"CF221"
10213,"CF413"
10220,"CF242"
10226,"CF109"
10237,"CF133"
10239,"CF111"
10242,"CF111"
10249,"CF111"
10256,"CF121"
10258,"CF109"
10281,"CF604"
10288,"CF132"
10326,"CF413"
10327,"CF114"
10342,"CF117"
10343,"CF245"
10347,"CF111"
10375,"CF101"
10383,"CF111"
10388,"CF406"
10403,"CF605"
10419,"CF229"
10427,"CF117"
10432,"CF123"
10451,"CF229"
10467,"CF113"
10470,"CF119"
10478,"CF119"
10505,"CF111"
10509,"CF109"
10536,"CF115"
10546,"CF111"
10548,"CF210"
10560,"CF245"
10583,"CF111"
10588,"CF111"
10617,"CF406"
10635,"CF119"
10645,"CF132"
10655,"CF403"
10702,"CF205"
10707,"CF105"
10723,"CF213"
10729,"CF111"
10760,"CF123"
10774,"CF125"
10777,"CF109"
10796,"CF402"
10804,"CF103"
10825,"CF204"
10855,"CF106"
10863,"CF202"
10870,"CF111"
10893,"CF125"
10894,"CF109"
10922,"CF127"
10931,"CF250"
10939,"CF133"
10947,"CF118"
10973,"CF111"
11006,"CF115"
11010,"CF119"
11015,"CF132"
11026,"CF233"
11063,"CF101"
11092,"CF604"
11097,"CF121"
11099,"CF205"
11101,"CF133"
11104,"CF245"
11106,"CF413"
11115,"CF604"
11123,"CF111"
11128,"CF229"
11172,"CF420"
11179,"CF133"
11200,"CF242"
11205,"CF109"
11214,"CF123"
11228,"CF401"
11279,"CF115"
11289,"CF111"
11294,"CF105"
11295,"CF127"
11301,"CF111"
11310,"CF403"
11322,"CF132"
11340,"CF245"
11354,"CF128"
11358,"CF218"
11372,"CF132"
11392,"CF111"
11467,"CF413"
11476,"CF108"
11478,"CF105"
11481,"CF105"
11495,"CF403"
11510,"CF403"
11512,"CF123"
11516,"CF111"
11614,"CF212"
11617,"CF604"
11631,"CF108"
11650,"CF212"
11696,"CF111"
11697,"CF413"
11709,"CF219"
11720,"CF125"
11759,"CF111"
11771,"CF111"
11772,"CF413"
11776,"CF408"
11779,"CF111"
11783,"CF245"
11793,"CF233"
11809,"CF111"
11823,"CF132"
11855,"CF604"
11891,"CF111"
11900,"CF109"
11926,"CF133"
11936,"CF111"
11940,"CF221"
11979,"CF132"
11986,"CF242"
12010,"CF123"
12011,"CF213"
12013,"CF132"
12015,"CF133"
12060,"CF111"
12078,"CF604"
12102,"CF111"
12127,"CF403"
12208,"CF604"
12251,"CF111"
12255,"CF246"
12265,"CF601"
12275,"CF604"
12281,"CF111"
12377,"CF111"
12380,"CF111"
12392,"CF111"
12403,"CF413"
12413,"CF123"
12446,"CF103"
12506,"CF111"
12527,"CF121"
12553,"CF124"
12597,"CF132"
12598,"CF232"
12602,"CF111"
12620,"CF242"
12626,"CF408"
12627,"CF242"
12654,"CF111"
12660,"CF245"
12667,"CF123"
12674,"CF408"
12693,"CF111"
12705,"CF117"
12713,"CF604"
12737,"CF233"
12747,"CF237"
12752,"CF408"
12753,"CF111"
12756,"CF125"
12820,"CF245"
12837,"CF403"
12860,"CF242"
12867,"CF115"
12915,"CF245"
12917,"CF245"
12969,"CF133"
12970,"CF233"
12999,"CF501"
13002,"CF132"
13006,"CF501"
13022,"CF125"
13025,"CF604"
13026,"CF242"
13038,"CF221"
13044,"CF242"
13059,"CF242"
13063,"CF129"
13067,"CF605"
13074,"CF201"
13082,"CF123"
13104,"CF108"
13108,"CF125"
13112,"CF107"
13202,"CF410"
13215,"CF124"
13236,"CF109"
13255,"CF123"
13256,"CF402"
13263,"CF245"
13282,"CF229"
13306,"CF406"
13313,"CF129"
13326,"CF402"
13336,"CF125"
13365,"CF117"
13379,"CF420"
13382,"CF105"
13390,"CF133"
13393,"CF132"
13418,"CF115"
13444,"CF258"
13447,"CF117"
13455,"CF233"
13510,"CF105"
13512,"CF111"
13513,"CF221"
13534,"CF108"
13537,"CF119"
13543,"CF111"
13552,"CF123"
13553,"CF604"
13556,"CF604"
13559,"CF604"
13565,"CF109"
13587,"CF115"
13629,"CF210"
13633,"CF201"
13636,"CF101"
13637,"CF117"
13655,"CF123"
13662,"CF242"
13685,"CF123"
13686,"CF103"
13704,"CF221"
13719,"CF128"
13725,"CF403"
13732,"CF232"
13745,"CF115"
13759,"CF111"
13777,"CF122"
13789,"CF403"
13806,"CF402"
13816,"CF127"
13827,"CF233"
13839,"CF402"
13885,"CF402"
13888,"CF109"
13935,"CF245"
13952,"CF123"
13954,"CF109"
13966,"CF218"
13968,"CF604"
13980,"CF413"
13989,"CF111"
14007,"CF111"
14028,"CF123"
14035,"CF101"
14036,"CF124"
14072,"CF243"
14085,"CF132"
14088,"CF109"
14091,"CF105"
14108,"CF111"
14117,"CF111"
14120,"CF604"
14143,"CF103"
14150,"CF122"
14164,"CF402"
14168,"CF604"
14171,"CF111"
14172,"CF402"
14200,"CF123"
14209,"CF245"
14219,"CF129"
14224,"CF115"
14233,"CF113"
14239,"CF252"
14249,"CF111"
14258,"CF116"
14275,"CF210"
14286,"CF106"
14291,"CF232"
14294,"CF101"
14308,"CF413"
14310,"CF103"
14337,"CF123"
14356,"CF124"
14369,"CF413"
14371,"CF123"
14377,"CF233"
14409,"CF245"
14420,"CF109"
14423,"CF128"
14424,"CF119"
14448,"CF218"
14462,"CF246"
14467,"CF410"
14491,"CF410"
14497,"CF245"
14509,"CF410"
14515,"CF406"
14527,"CF605"
14528,"CF131"
14536,"CF125"
14538,"CF413"
14551,"CF132"
14563,"CF126"
14580,"CF111"
14583,"CF221"
14586,"CF406"
14588,"CF128"
14595,"CF410"
14599,"CF403"
14603,"CF410"
14636,"CF128"
14641,"CF229"
14650,"CF410"
14670,"CF132"
14672,"CF109"
14684,"CF413"
14689,"CF420"
14697,"CF128"
14710,"CF601"
14746,"CF410"
14759,"CF105"
14767,"CF113"
14770,"CF111"
14809,"CF108"
14814,"CF604"
14822,"CF117"
14835,"CF114"
14842,"CF111"
14864,"CF124"
14868,"CF109"
14914,"CF109"
14921,"CF111"
14932,"CF108"
14933,"CF108"
14936,"CF210"
14963,"CF103"
14976,"CF111"
14981,"CF111"
14984,"CF407"
15006,"CF237"
15008,"CF115"
15030,"CF115"
15031,"CF261"
15045,"CF202"
15052,"CF111"
15066,"CF101"
15067,"CF111"
15084,"CF410"
15090,"CF218"
15126,"CF111"
15128,"CF101"
15132,"CF123"
15137,"CF403"
15139,"CF111"
15160,"CF111"
15173,"CF111"
15185,"CF402"
15189,"CF403"
15208,"CF109"
15214,"CF124"
15215,"CF133"
15218,"CF109"
15226,"CF123"
15239,"CF111"
15241,"CF410"
15252,"CF111"
15257,"CF245"
15267,"CF111"
15276,"CF410"
15282,"CF115"
15307,"CF113"
15323,"CF420"
15350,"CF132"
15351,"CF604"
15367,"CF111"
15372,"CF129"
15385,"CF128"
15389,"CF403"
15420,"CF125"
15427,"CF206"
15455,"CF128"
15486,"CF109"
15509,"CF124"
15537,"CF407"
15539,"CF111"
15540,"CF115"
15543,"CF123"
15555,"CF128"
15558,"CF249"
15564,"CF111"
15581,"CF101"
15605,"CF246"
15610,"CF109"
15634,"CF105"
15662,"CF242"
15678,"CF109"
15693,"CF402"
15694,"CF406"
15699,"CF601"
15700,"CF410"
15709,"CF132"
15711,"CF254"
15718,"CF123"
15732,"CF245"
15737,"CF123"
15754,"CF109"
15761,"CF102"
15781,"CF101"
15798,"CF109"
15832,"CF218"
15850,"CF105"
15873,"CF111"
15888,"CF107"
15892,"CF109"
15912,"CF115"
15922,"CF403"
15936,"CF109"
15938,"CF122"
15952,"CF119"
15955,"CF420"
15960,"CF245"
15963,"CF125"
15995,"CF111"
16020,"CF402"
16027,"CF403"
16036,"CF242"
16050,"CF111"
16056,"CF111"
16058,"CF249"
16079,"CF402"
16103,"CF410"
16124,"CF218"
16153,"CF403"
16177,"CF111"
16194,"CF111"
16195,"CF229"
16201,"CF123"
16216,"CF111"
16218,"CF420"
16232,"CF123"
16234,"CF108"
16248,"CF206"
16260,"CF111"
16261,"CF111"
16279,"CF402"
16301,"CF111"
16304,"CF111"
16310,"CF109"
16322,"CF402"
16329,"CF132"
16344,"CF601"
16362,"CF221"
16364,"CF123"
16376,"CF133"
16383,"CF111"
16401,"CF601"
16446,"CF402"
16452,"CF123"
16458,"CF111"
16469,"CF410"
16500,"CF111"
16513,"CF126"
16514,"CF406"
16543,"CF202"
16584,"CF125"
16596,"CF125"
16624,"CF242"
16674,"CF219"
16686,"CF242"
16705,"CF103"
16715,"CF123"
16732,"CF123"
16735,"CF111"
16749,"CF133"
16756,"CF229"
16759,"CF103"
16778,"CF246"
16824,"CF128"
16830,"CF219"
16849,"CF245"
16854,"CF111"
16858,"CF206"
16864,"CF245"
16865,"CF245"
16866,"CF105"
16885,"CF242"
16907,"CF111"
16914,"CF125"
16922,"CF117"
16927,"CF221"
16931,"CF221"
16939,"CF261"
16940,"CF109"
16958,"CF111"
16983,"CF242"
16988,"CF604"
17009,"CF402"
17013,"CF413"
17016,"CF402"
17057,"CF117"
17111,"CF242"
17115,"CF108"
17119,"CF105"
17130,"CF109"
17132,"CF402"
17136,"CF108"
17140,"CF258"
17149,"CF218"
17160,"CF229"
17173,"CF245"
17185,"CF403"
17187,"CF123"
17188,"CF111"
17194,"CF125"
17196,"CF403"
17201,"CF115"
17245,"CF222"
17287,"CF117"
17300,"CF249"
17310,"CF117"
17317,"CF132"
17318,"CF109"
17319,"CF123"
17337,"CF406"
17364,"CF132"
17380,"CF123"
17384,"CF242"
17411,"CF105"
17415,"CF242"
17429,"CF109"
17481,"CF125"
17507,"CF410"
17524,"CF125"
17532,"CF111"
17534,"CF242"
17538,"CF406"
17556,"CF101"
17567,"CF132"
17569,"CF245"
17583,"CF242"
17601,"CF111"
17629,"CF501"
17638,"CF406"
17653,"CF132"
17689,"CF406"
17698,"CF229"
17710,"CF111"
17733,"CF402"
17741,"CF604"
17762,"CF404"
17771,"CF132"
17782,"CF245"
17794,"CF111"
17823,"CF221"
17843,"CF403"
17867,"CF111"
17872,"CF117"
17880,"CF128"
17901,"CF205"
17912,"CF232"
17913,"CF111"
17929,"CF501"
17956,"CF232"
17986,"CF111"
17992,"CF245"
18004,"CF212"
18036,"CF105"
18052,"CF402"
18074,"CF111"
18095,"CF402"
18101,"CF111"
18108,"CF109"
18114,"CF211"
18123,"CF245"
18131,"CF245"
18153,"CF413"
18155,"CF123"
18167,"CF123"
18198,"CF258"
18200,"CF111"
18226,"CF242"
18231,"CF109"
18269,"CF245"
18281,"CF115"
18294,"CF111"
18303,"CF402"
18363,"CF109"
18371,"CF124"
18372,"CF123"
18429,"CF132"
18434,"CF126"
18440,"CF221"
18442,"CF601"
18451,"CF121"
18461,"CF402"
18470,"CF111"
18499,"CF105"
18505,"CF229"
18506,"CF222"
18514,"CF117"
18517,"CF256"
18552,"CF402"
18556,"CF115"
18567,"CF405"
18583,"CF242"
18586,"CF242"
18647,"CF112"
18649,"CF250"
18662,"CF103"
18667,"CF201"
18675,"CF242"
18679,"CF246"
18692,"CF245"
18698,"CF133"
18714,"CF111"
18724,"CF242"
18726,"CF413"
18742,"CF245"
18767,"CF111"
18770,"CF242"
18780,"CF133"
18782,"CF111"
18805,"CF113"
18813,"CF221"
18814,"CF415"
18828,"CF123"
18851,"CF123"
18872,"CF417"
18878,"CF242"
18911,"CF114"
18954,"CF113"
18957,"CF408"
18959,"CF105"
18966,"CF122"
18969,"CF105"
18976,"CF111"
19002,"CF123"
19021,"CF103"
19044,"CF402"
19045,"CF105"
19053,"CF401"
19067,"CF117"
19077,"CF413"
19079,"CF229"
19086,"CF131"
19092,"CF410"
19093,"CF115"
19095,"CF123"
19097,"CF115"
19099,"CF402"
19108,"CF133"
19116,"CF109"
19124,"CF209"
19154,"CF402"
19156,"CF117"
19158,"CF242"
19168,"CF413"
19183,"CF109"
19199,"CF123"
19211,"CF123"
19218,"CF117"
19230,"CF121"
19232,"CF403"
19237,"CF249"
19282,"CF119"
19283,"CF402"
19296,"CF402"
19316,"CF402"
19329,"CF107"
19332,"CF115"
19339,"CF402"
19366,"CF402"
19369,"CF402"
19376,"CF105"
19385,"CF604"
19386,"CF109"
19388,"CF101"
19391,"CF402"
19394,"CF242"
19403,"CF604"
19406,"CF105"
19442,"CF133"
19445,"CF109"
19494,"CF128"
19501,"CF420"
19519,"CF115"
19532,"CF245"
19538,"CF407"
19551,"CF111"
19554,"CF102"
19563,"CF111"
19569,"CF402"
19579,"CF218"
19584,"CF132"
19587,"CF109"
19592,"CF115"
19600,"CF109"
19642,"CF604"
19652,"CF242"
19662,"CF128"
19665,"CF604"
19668,"CF109"
19678,"CF109"
19685,"CF603"
19693,"CF232"
19731,"CF119"
19734,"CF401"
19735,"CF109"
19763,"CF410"
19767,"CF211"
19769,"CF242"
19772,"CF113"
19781,"CF413"
19790,"CF413"
19798,"CF115"
19811,"CF409"
19817,"CF404"
19829,"CF101"
19832,"CF109"
19859,"CF124"
19894,"CF105"
19900,"CF107"
19919,"CF123"
19929,"CF111"
19932,"CF410"
19943,"CF109"
19946,"CF132"
19950,"CF111"
19953,"CF111"
19959,"CF132"
19964,"CF604"
19989,"CF212"
19992,"CF111"
20001,"CF221"
20028,"CF111"
20033,"CF242"
20060,"CF105"
20071,"CF123"
20073,"CF403"
20083,"CF109"
20115,"CF124"
20120,"CF402"
20131,"CF123"
20138,"CF123"
20153,"CF123"
20188,"CF133"
20190,"CF212"
20198,"CF124"
20209,"CF109"
20211,"CF111"
20214,"CF402"
20216,"CF246"
20229,"CF221"
20236,"CF402"
20249,"CF123"
20252,"CF242"
20254,"CF604"
20281,"CF221"
20296,"CF603"
20301,"CF111"
20320,"CF242"
20321,"CF410"
20329,"CF113"
20337,"CF420"
20351,"CF221"
20363,"CF129"
20379,"CF132"
20386,"CF219"
20387,"CF232"
20389,"CF201"
20391,"CF402"
20392,"CF115"
20395,"CF132"
20412,"CF125"
20423,"CF413"
20435,"CF125"
20443,"CF111"
20451,"CF262"
20452,"CF123"
20459,"CF402"
20461,"CF103"
20466,"CF402"
20482,"CF229"
20485,"CF601"
20489,"CF603"
20497,"CF404"
20517,"CF221"
20527,"CF601"
20529,"CF222"
20531,"CF133"
20541,"CF128"
20568,"CF132"
20596,"CF132"
20600,"CF604"
20614,"CF410"
20630,"CF404"
20636,"CF258"
20638,"CF101"
20644,"CF249"
