"unique_id","Company_category","contract_type","ECO_SECT","JOB_CONDITION","JOB_CATEGORY","WORKING_HOURS","Emolument","employee_count","Job_dep","Work_description"
153,"ct_9","CDI","CK","C","O",1799,42350,"tr_5","69","388c"
156,"ct_9","CDI","HZ","C","O",2149,23230,"tr_4","01","641b"
160,"ct_9","CDI","CC","C","O",1959,23713,"tr_3","01","628g"
174,"ct_1","AUT","OZ","C","O",1824,24904,"tr_6","01","532c"
175,"ct_9","CDI","GZ","C","O",1820,21624,"tr_4","01","634c"
187,"ct_9","CDI","CG","C","O",1620,18766,"tr_5","01","674a"
190,"ct_7","CDI","QB","D","O",3000,17273,"tr_1","01","563a"
194,"ct_9","CDI","NZ","C","O",2200,24931,"tr_2","01","641a"
195,"ct_9","CDI","GZ","C","O",1848,24459,"tr_4","01","634c"
197,"ct_7","CDI","TZ","C","O",510,5080,"tr_0","69","563c"
198,"ct_8","CDI","QB","C","O",1832,17144,"tr_4","39","526d"
204,"ct_9","CDI","IZ","C","O",2500,63892,"tr_2","78","377a"
206,"ct_9","CDI","NZ","C","O",1820,22122,"tr_1","01","481b"
210,"ct_9","CDI","CL","C","O",2004,26249,"tr_6","01","628c"
224,"ct_9","CDI","GZ","C","O",2028,20918,"tr_4","01","641a"
229,"ct_8","CDI","QB","C","O",2036,28583,"tr_6","01","434c"
235,"ct_9","CDD","GZ","C","O",1239,11816,"tr_1","01","554e"
238,"ct_9","CDI","CC","C","O",1822,18707,"tr_4","01","674e"
247,"ct_9","TTP","NZ","C","O",286,11281,"tr_3","71","676b"
258,"ct_9","CDI","RZ","P","O",1107,15127,"tr_3","69","424a"
259,"ct_9","CDI","HZ","C","O",2150,48755,"tr_5","31","388c"
270,"ct_6","APP","FZ","C","A",1041,9861,"tr_0","01","681a"
271,"ct_9","CDI","GZ","C","O",2079,21272,"tr_2","01","634c"
276,"ct_9","CDI","QA","P","O",1239,11174,"tr_1","69","526b"
278,"ct_9","CDI","NZ","C","O",2797,20863,"tr_4","69","534a"
279,"ct_9","CDI","NZ","P","O",482,4010,"tr_5","74","684a"
283,"ct_9","CDI","CH","C","O",1863,17917,"tr_3","01","624d"
284,"ct_3","AUT","QB","C","X",1061,12622,"tr_4","01","525d"
288,"ct_9","CDI","CC","C","O",541,8945,"tr_1","01","476a"
294,"ct_8","CDI","QB","P","O",335,3846,"tr_3","01","563b"
303,"ct_9","CDD","NZ","C","O",664,15284,"tr_6","69","684a"
305,"ct_9","APP","CK","C","A",750,5415,"tr_5","01","628a"
315,"ct_9","CDI","CG","C","O",1848,21950,"tr_5","01","628d"
316,"ct_9","CDI","KZ","C","O",2200,72341,"tr_4","69","467b"
318,"ct_9","CDI","FZ","C","O",1819,20351,"tr_6","69","621b"
320,"ct_7","CDI","QB","D","O",3000,20901,"tr_1","01","563a"
324,"ct_8","CDI","OZ","C","O",1819,30443,"tr_6","69","461f"
330,"ct_9","CDI","FZ","C","O",1627,18585,"tr_2","01","632a"
331,"ct_9","CDI","MA","C","O",1851,19444,"tr_3","69","543b"
332,"ct_8","CDI","OZ","C","O",1845,20089,"tr_6","69","526c"
343,"ct_8","AUT","QB","P","X",663,19129,"tr_4","01","543b"
356,"ct_9","CDI","KZ","C","O",629,17111,"tr_3","69","462c"
357,"ct_8","CDI","RZ","P","O",1451,10274,"tr_2","01","435b"
364,"ct_7","CDI","QB","D","O",3000,14498,"tr_1","01","563a"
365,"ct_9","CDI","CC","C","O",1568,17259,"tr_2","01","632a"
369,"ct_7","CDI","QB","D","O",1505,7258,"tr_1","01","563a"
370,"ct_2","AUT","OZ","C","O",2028,18554,"tr_4","01","523c"
376,"ct_9","CDI","CA","C","O",1743,16141,"tr_4","01","674c"
377,"ct_9","CDI","FZ","C","O",1983,35793,"tr_5","01","477b"
381,"ct_9","CDI","GZ","C","O",1698,16597,"tr_1","69","634c"
387,"ct_9","CDI","HZ","C","O",1627,28992,"tr_4","01","333c"
388,"ct_9","CDI","CF","C","O",1835,14743,"tr_5","69","625c"
403,"ct_8","CDI","KZ","P","O",1080,10065,"tr_3","01","526a"
413,"ct_9","CDI","CA","C","O",1827,28161,"tr_6","02","461f"
418,"ct_9","CDD","NZ","C","O",764,8061,"tr_1","02","552a"
436,"ct_9","CDI","HZ","C","O",1870,24640,"tr_6","93","546c"
439,"ct_8","AUT","QB","C","O",1758,7462,"tr_5","02","676e"
445,"ct_8","CDI","NZ","C","O",444,6435,"tr_1","02","676a"
456,"ct_9","CDI","HZ","C","O",1820,25545,"tr_6","80","333c"
457,"ct_9","CDI","CM","C","O",1882,16113,"tr_2","02","624d"
458,"ct_9","CDI","GZ","C","O",1820,49059,"tr_3","02","463e"
464,"ct_9","CDI","GZ","P","O",1527,12010,"tr_1","02","676c"
466,"ct_8","CDI","QA","P","O",1166,10712,"tr_6","02","526a"
468,"ct_9","APP","CJ","C","A",1082,12495,"tr_5","02","462e"
478,"ct_1","AUT","PZ","P","O",1747,22623,"tr_3","02","341a"
480,"ct_3","AUT","QA","P","O",910,26105,"tr_6","02","431f"
490,"ct_9","CDI","HZ","C","O",1554,33979,"tr_3","08","387b"
499,"ct_9","CDI","GZ","C","O",1996,17325,"tr_2","02","554e"
507,"ct_8","CDD","MA","C","O",1728,24594,"tr_3","02","543b"
508,"ct_9","CDI","NZ","C","O",1598,14781,"tr_6","60","684a"
510,"ct_9","CDI","KZ","C","O",1861,35135,"tr_1","77","467a"
512,"ct_9","CDI","FZ","C","O",1820,16503,"tr_4","02","671c"
521,"ct_8","CDI","QB","C","O",1820,27733,"tr_3","02","434d"
522,"ct_3","AUT","QB","C","O",1690,17981,"tr_3","02","525d"
523,"ct_8","CDI","PZ","C","O",547,28372,"tr_4","02","341a"
537,"ct_6","CDI","GZ","C","O",2080,18467,"tr_1","59","634c"
541,"ct_8","CDI","QA","C","O",1906,44771,"tr_4","02","431a"
544,"ct_9","CDI","CH","C","O",1538,22603,"tr_6","02","542a"
553,"ct_9","CDI","MC","C","O",2028,17202,"tr_1","60","543f"
554,"ct_9","CDI","GZ","P","O",931,10441,"tr_0","02","636a"
576,"ct_9","CDI","CE","C","O",2200,32565,"tr_6","03","475b"
577,"ct_9","CDI","FZ","P","O",419,12369,"tr_2","03","682a"
579,"ct_9","CDI","FZ","P","O",1579,20325,"tr_3","03","461b"
592,"ct_9","CDI","HZ","C","O",2500,22887,"tr_4","03","641a"
593,"ct_9","CDI","JC","C","O",1820,20025,"tr_1","63","423b"
595,"ct_9","CDI","CA","C","O",1823,14595,"tr_6","03","625d"
596,"ct_9","CDI","FZ","C","O",1856,29643,"tr_1","41","472c"
600,"ct_9","CDI","CH","C","O",1820,26613,"tr_2","03","623f"
602,"ct_8","CDI","QB","P","O",1615,13817,"tr_1","03","632k"
605,"ct_8","CDI","QA","C","O",1820,21144,"tr_3","03","542a"
607,"ct_1","AUT","OZ","C","O",1820,46662,"tr_2","03","333b"
608,"ct_9","CDI","GZ","C","O",1823,16389,"tr_2","03","433d"
611,"ct_6","CDI","FZ","C","O",1651,20408,"tr_1","03","632e"
615,"ct_9","CDI","HZ","C","O",1938,23039,"tr_6","63","451a"
619,"ct_9","CDI","CK","C","O",1104,25304,"tr_6","03","483a"
633,"ct_9","CDI","CA","C","O",1840,27155,"tr_5","03","625c"
635,"ct_9","CDI","QA","C","O",1820,14973,"tr_3","03","526e"
637,"ct_9","CDI","NZ","P","O",2205,18444,"tr_3","03","684a"
646,"ct_9","CDI","QB","C","O",1724,17186,"tr_4","03","526a"
652,"ct_9","CDI","CA","C","O",2040,20137,"tr_1","03","674c"
654,"ct_9","CDI","CL","C","O",1785,23703,"tr_6","03","624c"
655,"ct_9","TTP","NZ","C","O",1559,17608,"tr_2","03","674c"
665,"ct_9","CDI","GZ","C","O",1824,16031,"tr_2","03","554b"
680,"ct_9","CDI","GZ","C","O",1823,16646,"tr_2","03","433d"
681,"ct_9","CDI","GZ","P","O",1238,11227,"tr_3","03","551a"
699,"ct_9","CDI","CJ","C","O",1807,22074,"tr_5","03","622c"
702,"ct_8","CDI","KZ","C","O",1820,19616,"tr_1","03","543b"
707,"ct_1","CDI","OZ","C","O",1818,25410,"tr_3","03","461f"
722,"ct_9","CDI","FZ","P","O",916,8370,"tr_1","05","542a"
731,"ct_2","AUT","OZ","P","X",733,10419,"tr_2","03","621f"
733,"ct_9","CDI","CH","C","O",1837,28506,"tr_4","03","484b"
741,"ct_9","CDI","SZ","C","O",1820,14130,"tr_5","03","461f"
744,"ct_9","CDI","MA","C","O",2028,23998,"tr_2","03","543b"
745,"ct_9","CDI","HZ","C","O",2321,21476,"tr_4","03","641a"
750,"ct_9","CDI","GZ","C","O",674,15499,"tr_2","03","463d"
753,"ct_8","CDI","QB","C","O",1774,16227,"tr_4","03","526d"
754,"ct_9","CDI","GZ","C","O",1828,17889,"tr_1","03","554e"
767,"ct_9","AUT","NZ","C","X",1634,16913,"tr_4","63","543g"
772,"ct_9","CDI","CH","C","O",1820,22907,"tr_3","03","673a"
784,"ct_9","CDI","KZ","C","O",1197,23827,"tr_6","75","467c"
789,"ct_9","CDI","CA","C","O",1872,21159,"tr_6","75","625d"
797,"ct_8","CDI","PZ","C","O",1820,18716,"tr_2","03","422c"
800,"ct_2","AUT","OZ","C","X",1774,14303,"tr_6","03","524c"
807,"ct_8","CDI","QB","P","O",373,3776,"tr_4","04","563b"
810,"ct_9","CDI","GZ","C","O",1938,15829,"tr_1","04","634c"
821,"ct_9","CDI","CE","C","O",1795,53770,"tr_6","04","534a"
837,"ct_9","CDI","FZ","C","O",1832,22387,"tr_1","04","632c"
839,"ct_9","CDI","QA","P","O",909,8835,"tr_4","04","526a"
855,"ct_9","APP","FZ","C","A",1996,10771,"tr_2","04","681a"
859,"ct_6","APP","GZ","C","A",1364,7362,"tr_1","26","562b"
860,"ct_8","CDI","QB","P","O",1609,13669,"tr_4","05","563b"
863,"ct_9","CDI","GZ","C","O",1431,13197,"tr_2","05","676c"
865,"ct_9","CDI","GZ","C","O",1234,48156,"tr_6","05","462b"
871,"ct_9","CDI","EZ","C","O",1833,21700,"tr_2","05","621e"
893,"ct_9","CDI","HZ","C","O",1820,67598,"tr_6","06","372b"
896,"ct_9","CDI","JB","C","O",1798,20256,"tr_3","93","478d"
898,"ct_8","CDI","QB","P","O",1024,17047,"tr_3","06","526a"
900,"ct_9","CDI","FZ","C","O",1921,50557,"tr_3","06","382c"
902,"ct_7","CDI","QB","D","O",3000,28811,"tr_1","06","563a"
903,"ct_8","CDI","KZ","C","O",1699,20882,"tr_3","06","542a"
905,"ct_9","CDI","FZ","P","O",1474,22761,"tr_3","06","542a"
906,"ct_6","CDI","CM","C","O",1820,19297,"tr_1","06","623b"
915,"ct_9","CDI","NZ","C","O",2028,20503,"tr_2","06","684a"
922,"ct_9","CDI","GZ","P","O",389,6338,"tr_3","06","554e"
927,"ct_9","CDI","CF","C","O",1820,39155,"tr_6","06","385b"
928,"ct_9","CDI","GZ","C","O",1891,23656,"tr_3","06","554b"
937,"ct_9","CDI","GZ","C","O",1035,16167,"tr_1","06","433d"
942,"ct_9","CDI","QB","C","O",1314,15992,"tr_3","06","432d"
943,"ct_9","CDI","HZ","C","O",455,6418,"tr_6","06","451a"
945,"ct_9","CDI","CE","C","O",1820,55798,"tr_2","06","385b"
947,"ct_8","CDI","QB","C","O",1835,16016,"tr_4","06","525d"
952,"ct_9","CDI","HZ","P","O",951,8687,"tr_5","06","521a"
956,"ct_8","CDI","QA","F","O",564,6292,"tr_3","06","432d"
959,"ct_9","CDI","LZ","P","O",1525,32608,"tr_1","06","543b"
961,"ct_9","APP","CA","C","A",455,892,"tr_1","04","683a"
963,"ct_9","CDD","FZ","C","O",469,3248,"tr_1","06","632k"
966,"ct_9","CDI","GZ","C","O",1809,20725,"tr_4","06","554e"
972,"ct_9","CDI","CM","P","O",1705,35962,"tr_2","06","388e"
975,"ct_9","CDI","EZ","C","O",1819,28091,"tr_5","06","461f"
983,"ct_8","CDI","QA","C","O",1833,16533,"tr_6","06","433d"
989,"ct_9","CDI","GZ","C","O",1697,14782,"tr_2","06","554e"
997,"ct_9","CDI","IZ","C","O",2035,25436,"tr_2","06","468a"
1001,"ct_8","CDI","PZ","C","O",2010,42770,"tr_5","06","422b"
1008,"ct_9","CDI","GZ","C","O",1765,17921,"tr_6","06","551a"
1014,"ct_6","CDI","GZ","C","O",1832,46590,"tr_2","06","344d"
1015,"ct_9","APP","FZ","C","A",1844,14722,"tr_2","06","681b"
1016,"ct_9","CDI","GZ","P","O",1278,14891,"tr_1","06","433d"
1019,"ct_9","CDI","FZ","P","O",518,30491,"tr_6","13","382a"
1024,"ct_9","CDI","GZ","C","O",1921,20565,"tr_4","06","643a"
1026,"ct_8","CDI","MA","C","O",1500,27148,"tr_5","06","461f"
1028,"ct_9","CDI","JC","C","O",2021,46612,"tr_6","06","388d"
1032,"ct_9","CDI","FZ","P","O",1006,10403,"tr_1","06","632g"
1034,"ct_8","CDI","QB","C","O",1867,18533,"tr_4","06","526a"
1042,"ct_9","CDI","GZ","P","O",1469,29954,"tr_1","06","344d"
1044,"ct_2","AUT","OZ","C","X",1819,14176,"tr_6","06","524c"
1055,"ct_9","CDI","GZ","P","O",737,12351,"tr_2","06","541b"
1056,"ct_9","CDI","KZ","C","O",1820,15473,"tr_1","92","632k"
1059,"ct_9","CDI","HZ","C","O",1820,34707,"tr_4","06","333c"
1060,"ct_9","CDI","CE","C","O",1818,26339,"tr_6","06","475a"
1061,"ct_9","CDI","GZ","P","O",1010,8628,"tr_2","06","433d"
1067,"ct_9","CDI","FZ","C","O",412,14708,"tr_1","83","632a"
1072,"ct_9","CDI","MA","C","O",1899,20228,"tr_4","06","461d"
1074,"ct_9","CDI","HZ","C","O",1852,17011,"tr_4","06","676c"
1075,"ct_9","CDI","QB","C","O",976,14113,"tr_3","06","526a"
1079,"ct_6","CDI","FZ","C","O",1825,16798,"tr_1","06","621b"
1083,"ct_8","CDI","QB","C","O",1846,21222,"tr_2","06","525d"
1087,"ct_9","CDD","GZ","C","O",1212,10012,"tr_2","06","552a"
1089,"ct_1","AUT","PZ","C","X",1245,12069,"tr_4","06","422e"
1091,"ct_9","CDI","CE","C","O",1885,34481,"tr_6","06","484a"
1098,"ct_9","CDI","QB","C","O",1861,16129,"tr_4","06","526a"
1102,"ct_9","CDI","GZ","C","O",1365,21654,"tr_3","06","653a"
1103,"ct_9","CDI","HZ","C","O",1781,27826,"tr_6","06","451a"
1104,"ct_9","CDI","IZ","C","O",2041,18308,"tr_2","75","561b"
1110,"ct_9","CDI","CJ","C","O",1820,23681,"tr_6","06","672a"
1123,"ct_9","CDI","MB","C","O",1820,62333,"tr_6","06","388b"
1124,"ct_9","CDI","CF","C","O",1832,19041,"tr_6","06","475b"
1130,"ct_3","CDI","QA","C","O",1819,19018,"tr_6","06","526a"
1137,"ct_9","CDI","CE","C","O",1879,32723,"tr_2","06","385b"
1156,"ct_6","CDI","NZ","C","O",2200,54888,"tr_1","75","462e"
1162,"ct_6","CDI","HZ","C","O",797,9882,"tr_2","06","653a"
1163,"ct_9","CDI","JC","C","O",1820,21009,"tr_1","06","463a"
1169,"ct_9","CDI","NZ","C","O",1820,23841,"tr_4","06","543g"
1173,"ct_9","CDI","PZ","P","O",945,8997,"tr_1","06","354g"
1178,"ct_9","CDI","JC","C","O",2200,54557,"tr_6","06","380a"
1181,"ct_9","CDI","CC","P","O",1038,10398,"tr_3","06","543g"
1190,"ct_9","AUT","JB","C","O",1820,24148,"tr_6","06","676c"
1203,"ct_2","AUT","OZ","C","O",1663,22301,"tr_6","06","434d"
1206,"ct_9","CDI","IZ","C","O",326,15025,"tr_1","06","636d"
1207,"ct_9","CDI","NZ","C","O",1824,15022,"tr_5","06","676a"
1208,"ct_9","CDI","FZ","C","O",1832,31220,"tr_5","13","386d"
1209,"ct_8","CDI","PZ","C","O",1674,20286,"tr_5","06","341a"
1213,"ct_9","CDI","LZ","C","O",1820,31519,"tr_1","06","461f"
1219,"ct_9","CDI","RZ","C","O",2052,21316,"tr_2","06","541b"
1224,"ct_9","CDI","NZ","C","O",1952,27071,"tr_3","83","534a"
1238,"ct_2","CDD","QB","C","O",1766,17564,"tr_3","06","563b"
1245,"ct_6","CDI","FZ","C","O",1655,18983,"tr_3","06","621c"
1250,"ct_9","CDI","GZ","P","O",1426,18243,"tr_1","06","433d"
1252,"ct_9","CDI","JB","C","O",2200,54078,"tr_6","06","388e"
1262,"ct_9","CDI","IZ","C","O",1859,33999,"tr_3","06","461d"
1265,"ct_9","CDI","QA","P","O",1062,13215,"tr_3","06","526a"
1271,"ct_2","CDI","QB","C","O",1819,20642,"tr_1","06","523c"
1272,"ct_9","APP","HZ","C","A",454,2233,"tr_1","06","685a"
1278,"ct_9","CDI","IZ","P","O",1319,10056,"tr_4","06","561d"
1287,"ct_9","CDI","HZ","C","O",1820,41464,"tr_2","06","466b"
1294,"ct_9","CDI","GZ","C","O",598,5814,"tr_1","06","556a"
1304,"ct_9","CDI","QA","P","O",825,11863,"tr_1","06","526e"
1313,"ct_9","CDI","HZ","C","O",2480,22751,"tr_2","06","641a"
1319,"ct_9","CDI","FZ","C","O",1757,29973,"tr_4","06","621a"
1322,"ct_9","TTP","NZ","C","O",1765,31488,"tr_1","06","621b"
1336,"ct_9","TOA","IZ","P","O",1616,27565,"tr_4","06","468a"
1346,"ct_1","AUT","PZ","C","O",1820,25805,"tr_4","06","421b"
1349,"ct_9","CDI","HZ","C","O",1820,47642,"tr_6","06","333c"
1351,"ct_9","CDI","CA","C","O",956,10863,"tr_1","06","554a"
1367,"ct_9","CDI","JC","C","O",1820,18268,"tr_1","06","478a"
1375,"ct_9","CDI","LZ","C","O",1146,16682,"tr_1","06","463e"
1380,"ct_9","CDI","GZ","C","O",1854,23642,"tr_1","06","433d"
1384,"ct_8","CDI","QB","P","O",728,26202,"tr_3","06","344b"
1388,"ct_9","CDI","QA","C","O",1827,29235,"tr_5","06","431f"
1394,"ct_9","CDI","JA","C","O",1753,39839,"tr_3","06","388a"
1414,"ct_9","CDI","HZ","C","O",2884,48206,"tr_3","06","372a"
1418,"ct_9","CDI","JC","C","O",1775,29705,"tr_2","06","388a"
1420,"ct_9","TOA","HZ","C","O",1820,21352,"tr_6","06","521a"
1421,"ct_6","CDI","GZ","Y","O",303,2106,"tr_0","06","543f"
1423,"ct_1","AUT","PZ","P","X",973,13801,"tr_4","06","525b"
1424,"ct_2","AUT","OZ","C","O",1890,19560,"tr_5","06","524c"
1425,"ct_9","CDI","MA","C","O",2044,38202,"tr_5","06","388a"
1428,"ct_9","CDI","CF","P","O",1579,43183,"tr_6","06","372c"
1445,"ct_9","CDI","MA","C","O",2028,22334,"tr_1","06","655a"
1450,"ct_9","CDI","SZ","F","O",184,4260,"tr_3","06","372d"
1453,"ct_2","TOA","OZ","P","O",441,4969,"tr_6","06","524c"
1455,"ct_9","TOA","IZ","F","O",1106,22473,"tr_4","06","468a"
1458,"ct_9","CDI","QA","C","O",607,16901,"tr_4","06","344a"
1459,"ct_1","AUT","OZ","P","O",1699,20145,"tr_6","06","524b"
1462,"ct_9","TTP","NZ","C","O",1790,21264,"tr_2","06","461d"
1467,"ct_6","CDI","FZ","C","O",716,5983,"tr_0","06","632a"
1472,"ct_9","CDD","GZ","P","O",1805,15083,"tr_5","06","552a"
1474,"ct_9","CDI","SZ","C","O",1124,9004,"tr_2","06","562b"
1479,"ct_7","CDI","QB","F","O",445,3030,"tr_1","06","563b"
1482,"ct_9","CDI","SZ","P","O",1819,19158,"tr_3","30","633b"
1484,"ct_9","CDI","CI","C","O",2057,50438,"tr_5","06","388b"
1496,"ct_1","AUT","OZ","C","O",1820,26204,"tr_6","06","531a"
1501,"ct_6","CDI","GZ","C","O",1508,12571,"tr_1","06","554b"
1517,"ct_9","CDI","PZ","C","O",1776,57463,"tr_1","06","372d"
1524,"ct_9","CDD","NZ","C","O",905,10774,"tr_1","06","546b"
1530,"ct_9","CDI","CI","P","O",1940,30286,"tr_0","06","373d"
1535,"ct_6","CDI","HZ","C","O",1870,16673,"tr_1","06","642a"
1538,"ct_7","CDI","QB","F","O",453,5068,"tr_1","06","563b"
1548,"ct_9","CDI","KZ","C","O",1805,22323,"tr_6","06","467b"
1556,"ct_9","CDI","HZ","C","O",1365,14426,"tr_6","06","521a"
1557,"ct_9","CDI","GZ","C","O",1820,46109,"tr_1","06","344d"
1565,"ct_9","CDI","QB","C","O",1538,13803,"tr_4","06","525d"
1567,"ct_9","CDI","HZ","C","O",1889,29039,"tr_0","06","641b"
1570,"ct_9","CDI","GZ","C","O",1900,30394,"tr_1","06","344d"
1574,"ct_4","CDI","OZ","C","O",1820,92872,"tr_3","06","344b"
1580,"ct_9","CDI","NZ","C","O",1811,15886,"tr_4","76","534a"
1586,"ct_1","CDI","OZ","C","O",1818,31997,"tr_4","06","461f"
1588,"ct_9","CDI","GZ","P","O",190,1574,"tr_2","06","553c"
1592,"ct_9","CDI","FZ","C","O",1610,17702,"tr_2","06","632a"
1600,"ct_5","CDI","HZ","C","O",1791,24513,"tr_6","06","641b"
1606,"ct_9","CDI","GZ","P","O",980,22995,"tr_2","06","462a"
1611,"ct_8","CDI","QA","P","O",910,10686,"tr_6","06","526a"
1614,"ct_9","CDI","CL","C","O",1485,35795,"tr_6","06","388e"
1618,"ct_9","CDI","IZ","C","O",430,4009,"tr_1","06","561d"
1619,"ct_6","CDI","NZ","C","O",2800,22266,"tr_1","06","684a"
1621,"ct_9","CDI","IZ","C","O",367,3579,"tr_1","06","561b"
1628,"ct_9","CDI","FZ","C","O",1639,15651,"tr_1","06","681a"
1635,"ct_9","CDI","HZ","C","O",1611,12022,"tr_3","06","643a"
1642,"ct_8","CDI","MA","P","O",1407,12331,"tr_3","06","543g"
1643,"ct_9","CDI","QA","P","O",1404,24760,"tr_5","06","431f"
1649,"ct_9","CDD","GZ","C","O",432,5089,"tr_2","06","552a"
1655,"ct_6","TTP","NZ","C","O",892,9460,"tr_6","06","681a"
1657,"ct_6","APP","GZ","C","A",1375,9977,"tr_1","06","682a"
1660,"ct_2","AUT","OZ","C","O",1818,46737,"tr_6","06","333f"
1665,"ct_9","CDI","KZ","C","O",1819,27640,"tr_2","06","376c"
1681,"ct_9","CDI","NZ","C","O",1820,23845,"tr_1","06","684a"
1686,"ct_9","CDI","GZ","P","O",1213,24540,"tr_1","06","463d"
1687,"ct_9","CDI","QA","C","O",1825,18360,"tr_2","06","542a"
1693,"ct_8","CDI","RZ","C","O",1820,17754,"tr_3","06","375b"
1701,"ct_9","CDI","GZ","C","O",1911,28541,"tr_4","06","462b"
1706,"ct_9","CDI","IZ","C","O",1880,30576,"tr_2","06","488a"
1710,"ct_9","CDI","QB","C","O",1695,12199,"tr_3","06","525d"
1717,"ct_9","CDI","IZ","C","O",1859,23222,"tr_6","06","561f"
1720,"ct_9","CDI","IZ","C","O",1609,15042,"tr_3","06","684a"
1727,"ct_9","CDI","QA","C","O",1819,16935,"tr_4","06","525d"
1731,"ct_9","CDI","GZ","C","O",1990,18092,"tr_6","06","534a"
1742,"ct_9","CDI","MA","P","O",1455,34134,"tr_1","06","373c"
1743,"ct_9","CDI","HZ","C","O",1804,21361,"tr_1","06","451a"
1760,"ct_9","CDI","GZ","C","O",444,7845,"tr_6","06","551a"
1762,"ct_9","CDI","HZ","C","O",1909,22904,"tr_2","06","451a"
1763,"ct_9","CDI","FZ","C","O",1369,24235,"tr_3","06","481b"
1764,"ct_9","CDI","KZ","C","O",2275,27075,"tr_1","06","545c"
1769,"ct_9","CDI","NZ","C","O",1820,24273,"tr_1","06","542a"
1775,"ct_9","CDI","HZ","C","O",1820,48290,"tr_6","75","333c"
1782,"ct_9","CDI","IZ","C","O",2027,16521,"tr_0","06","561f"
1788,"ct_8","CDI","QA","P","O",910,11923,"tr_6","06","526a"
1793,"ct_8","CDI","PZ","C","O",1820,24429,"tr_4","06","421b"
1803,"ct_3","CDI","QA","P","O",909,9671,"tr_4","04","525d"
1804,"ct_8","CDI","QA","P","O",910,11591,"tr_6","06","526a"
1808,"ct_9","CDI","QA","C","O",1840,19932,"tr_4","06","526a"
1809,"ct_9","CDI","FZ","C","O",2083,20940,"tr_2","06","632a"
1810,"ct_9","CDI","KZ","P","O",1455,12049,"tr_1","06","543g"
1815,"ct_9","CDI","MC","C","O",1819,18123,"tr_2","13","685a"
1820,"ct_9","CDI","HZ","C","O",1831,22490,"tr_3","06","676d"
1835,"ct_9","CDI","FZ","C","O",1832,22046,"tr_4","06","477c"
1836,"ct_9","CDI","CI","C","O",2200,43564,"tr_6","06","461d"
1852,"ct_6","CDI","PZ","C","O",1892,15683,"tr_1","06","423a"
1856,"ct_9","CDI","NZ","C","O",2028,19815,"tr_5","06","433a"
1858,"ct_9","CDI","FZ","C","O",182,2719,"tr_4","06","633a"
1863,"ct_7","CDI","TZ","C","O",86,869,"tr_1","06","563c"
1871,"ct_9","CDI","GZ","C","O",1846,22640,"tr_3","06","462d"
1876,"ct_9","CDI","CE","C","O",1820,47144,"tr_4","06","477d"
