"unique_id","insee","is_student","current_age","Activity_type","sex","household_type","JOB_42","highest_diploma","target"
60,"01053",FALSE,69,"type|2|1","Female","TYPEM1-2","csp_7_5","edu1-7",51.935
61,"01053",FALSE,64,"type|2|1","Male","TYPEM1-1","csp_7_8","edu1-1",57.2603
64,"01053",FALSE,33,"type|1|1","Male","TYPEM4-3","csp_3_7","edu1-7",71.2198
65,"01053",FALSE,54,"type|2|1","Female","TYPEM4-4","csp_7_7","edu1-4",48.9852
67,"01053",FALSE,43,"type|1|2","Male","TYPEM3-2","csp_6_2","edu1-3",54.2407
71,"01053",FALSE,54,"type|1|1","Male","TYPEM1-1","csp_6_4","edu1-3",54.7932
72,"01053",FALSE,47,"type|1|1","Female","TYPEM4-1","csp_2_1","edu1-5",54.3427
73,"01053",FALSE,62,"type|2|1","Male","TYPEM1-1","csp_7_8","edu1-8",63.0878
77,"01053",FALSE,34,"type|1|1","Female","TYPEM4-1","csp_5_5","edu1-5",44.0028
78,"01053",FALSE,56,"type|1|1","Female","TYPEM4-1","csp_3_7","edu1-4",47.9206
80,"01053",TRUE,19,"type|2|2","Female","TYPEM4-2","csp_8_4","edu3",61.7894
83,"01053",FALSE,29,"type|1|1","Female","TYPEM4-1","csp_5_6","edu1-5",43.374
85,"01053",TRUE,18,"type|2|2","Female","TYPEM3-2","csp_8_4","edu1-2",74.8447
86,"01053",FALSE,46,"type|2|1","Female","TYPEM4-4","csp_7_8","edu2",52.251
87,"01053",FALSE,26,"type|1|1","Female","TYPEM4-4","csp_4_2","edu1-4",69.103
88,"01056",FALSE,67,"type|2|1","Male","TYPEM1-1","csp_7_8","edu1-3",55.8004
90,"01064",FALSE,77,"type|2|1","Male","TYPEM4-4","csp_7_7","edu1-3",48.112
93,"01071",FALSE,67,"type|2|1","Male","TYPEM4-4","csp_7_8","edu1-4",55.6096
94,"01071",FALSE,91,"type|2|1","Male","TYPEM2-0","csp_7_8","edu1-2",59.2011
97,"01071",FALSE,46,"type|1|1","Female","TYPEM4-1","csp_6_3","edu1-3",46.5753
99,"01072",FALSE,80,"type|2|1","Female","TYPEM3-2","csp_7_7","edu1-1",49.1829
100,"01072",FALSE,59,"type|1|1","Female","TYPEM1-2","csp_5_4","edu1-3",43.2775
102,"01074",FALSE,46,"type|2|4","Female","TYPEM4-2","csp_8_5","edu1-3",51.705
104,"01075",FALSE,54,"type|2|5","Female","TYPEM1-2","csp_8_5","edu1-4",58.3228
105,"01075",FALSE,21,"type|1|1","Female","TYPEM1-2","csp_4_3","edu1-6",76.4685
106,"01079",FALSE,43,"type|1|1","Female","TYPEM4-1","csp_5_4","edu1-5",53.2343
107,"01080",FALSE,58,"type|1|1","Male","TYPEM4-2","csp_6_3","edu1-2",50.9295
108,"01083",FALSE,35,"type|2|4","Female","TYPEM3-2","csp_8_5","edu1-6",43.8948
109,"01089",FALSE,29,"type|1|1","Male","TYPEM1-1","csp_3_8","edu1-8",68.3148
110,"01091",FALSE,67,"type|2|1","Female","TYPEM4-2","csp_7_8","edu1-4",51.7704
113,"01093",FALSE,45,"type|1|1","Male","TYPEM4-1","csp_4_8","edu1-3",67.5686
114,"01099",FALSE,54,"type|2|5","Female","TYPEM1-2","csp_8_5","edu1-9",53.6237
115,"01103",FALSE,43,"type|1|2","Female","TYPEM4-2","csp_5_5","edu1-3",42.0308
117,"01105",FALSE,24,"type|1|2","Female","TYPEM4-2","csp_5_2","edu1-4",51.3158
119,"01109",FALSE,65,"type|2|1","Male","TYPEM4-4","csp_7_8","edu1-1",58.1406
123,"01118",FALSE,21,"type|1|1","Male","TYPEM4-1","csp_4_2","edu1-6",72.5877
124,"01118",FALSE,49,"type|1|1","Male","TYPEM4-1","csp_4_7","edu1-3",52.4035
127,"01122",FALSE,86,"type|2|1","Male","TYPEM1-1","csp_7_4","edu1-3",53.1605
128,"01122",FALSE,33,"type|1|1","Male","TYPEM4-1","csp_3_4","edu1-8",74.3181
130,"01123",FALSE,34,"type|1|1","Female","TYPEM4-3","csp_4_3","edu1-7",55.769
132,"01124",FALSE,54,"type|1|1","Female","TYPEM3-2","csp_3_3","edu1-6",57.7933
137,"01134",FALSE,31,"type|1|1","Female","TYPEM4-1","csp_4_6","edu1-7",64.6266
142,"01141",FALSE,33,"type|1|1","Male","TYPEM4-1","csp_6_2","edu1-3",57.1136
143,"01142",FALSE,29,"type|1|2","Female","TYPEM4-2","csp_5_5","edu1-5",48.6599
146,"01143",FALSE,34,"type|1|1","Female","TYPEM4-1","csp_5_2","edu1-4",69.8562
148,"01143",FALSE,63,"type|2|1","Male","TYPEM4-3","csp_7_2","edu1-3",54.4046
149,"01143",FALSE,26,"type|1|1","Female","TYPEM3-2","csp_5_6","edu1-3",36.8514
150,"01144",FALSE,28,"type|1|2","Female","TYPEM4-2","csp_6_4","edu1-3",50.3159
151,"01145",FALSE,68,"type|2|1","Male","TYPEM4-4","csp_7_5","edu1-3",48.7026
152,"01148",FALSE,46,"type|1|2","Male","TYPEM1-1","csp_2_2","edu1-3",73.3152
153,"01148",FALSE,61,"type|1|1","Male","TYPEM4-2","csp_3_8","edu1-6",53.9179
156,"01153",FALSE,47,"type|1|1","Male","TYPEM4-1","csp_6_4","edu1-7",63.3046
157,"01157",FALSE,79,"type|2|1","Female","TYPEM1-2","csp_7_7","edu2",52.7021
160,"01159",FALSE,37,"type|1|1","Male","TYPEM4-1","csp_6_2","edu1-3",56.0628
162,"01160",FALSE,29,"type|2|4","Female","TYPEM4-4","csp_8_5","edu1-3",45.0015
165,"01173",FALSE,59,"type|2|1","Male","TYPEM4-3","csp_7_8","edu2",52.5764
169,"01173",FALSE,39,"type|1|2","Female","TYPEM4-2","csp_4_6","edu1-8",53.8762
170,"01173",FALSE,59,"type|2|5","Male","TYPEM1-1","csp_8_5","edu3",51.7859
171,"01173",TRUE,18,"type|2|2","Female","TYPEM4-1","csp_8_4","edu1-2",79.116
173,"01174",FALSE,64,"type|2|1","Male","TYPEM4-3","csp_7_5","edu1-6",51.3361
174,"01175",FALSE,24,"type|1|1","Male","TYPEM4-1","csp_5_3","edu1-2",38.5846
175,"01179",FALSE,57,"type|1|1","Male","TYPEM4-1","csp_6_3","edu1-3",57.2461
176,"01179",TRUE,19,"type|2|5","Male","TYPEM4-1","csp_8_5","edu1-9",83.5043
177,"01183",FALSE,64,"type|2|1","Male","TYPEM1-1","csp_7_8","edu1-3",56.7205
179,"01185",FALSE,76,"type|2|1","Male","TYPEM4-4","csp_7_5","edu2",59.7564
182,"01187",FALSE,67,"type|2|1","Female","TYPEM4-4","csp_7_4","edu1-8",46.3376
185,"01190",FALSE,71,"type|2|1","Male","TYPEM4-4","csp_7_8","edu1-3",51.017
186,"01192",TRUE,19,"type|2|2","Female","TYPEM4-3","csp_8_4","edu1-5",80.2889
187,"01194",FALSE,62,"type|1|1","Female","TYPEM4-1","csp_6_7","edu1-2",52.5423
190,"01194",FALSE,46,"type|1|1","Female","TYPEM4-1","csp_5_6","edu1-7",81.0559
191,"01195",FALSE,74,"type|2|1","Male","TYPEM4-4","csp_7_8","edu3",42.2013
192,"01197",FALSE,67,"type|2|1","Male","TYPEM3-2","csp_7_8","edu1-3",51.1732
194,"01199",FALSE,48,"type|1|1","Male","TYPEM1-1","csp_6_4","edu1-3",47.1489
195,"01202",FALSE,53,"type|1|1","Male","TYPEM4-1","csp_6_3","edu1-4",63.1553
197,"01211",FALSE,62,"type|1|1","Female","TYPEM1-2","csp_5_6","edu1-3",48.7101
198,"01211",FALSE,54,"type|1|1","Female","TYPEM4-1","csp_5_2","edu1-1",51.7227
201,"01225",FALSE,50,"type|1|1","Male","TYPEM1-1","csp_2_1","edu1-3",63.1614
203,"01232",TRUE,16,"type|2|2","Male","TYPEM4-2","csp_8_4","edu3",71.3406
204,"01235",FALSE,53,"type|1|1","Male","TYPEM4-1","csp_3_7","edu1-3",57.3336
205,"01237",FALSE,68,"type|2|1","Male","TYPEM1-1","csp_7_2","edu1-3",63.2598
206,"01237",FALSE,36,"type|1|1","Male","TYPEM4-1","csp_4_8","edu1-6",67.5846
207,"01237",FALSE,66,"type|2|1","Male","TYPEM4-3","csp_7_7","edu1-2",51.5324
208,"01238",FALSE,27,"type|1|1","Female","TYPEM4-1","csp_4_5","edu1-6",73.0399
210,"01239",FALSE,36,"type|1|1","Male","TYPEM4-1","csp_6_2","edu1-5",63.0614
212,"01241",TRUE,20,"type|2|2","Male","TYPEM3-2","csp_8_4","edu1-2",81.6913
216,"01244",FALSE,29,"type|1|1","Male","TYPEM1-1","csp_6_3","edu1-4",60.6369
219,"01244",TRUE,16,"type|2|2","Female","TYPEM3-2","csp_8_4","edu3",66.2231
220,"01244",FALSE,72,"type|2|1","Male","TYPEM4-4","csp_7_4","edu1-4",54.9213
224,"01249",FALSE,51,"type|1|1","Male","TYPEM4-1","csp_6_4","edu1-3",62.7861
225,"01249",FALSE,81,"type|2|1","Female","TYPEM4-4","csp_7_7","edu1-3",47.6135
226,"01249",FALSE,74,"type|2|1","Female","TYPEM1-2","csp_7_7","edu1-1",48.6693
229,"01250",FALSE,47,"type|1|1","Female","TYPEM4-1","csp_4_3","edu1-3",70.2329
230,"01250",FALSE,37,"type|1|2","Female","TYPEM4-2","csp_4_6","edu1-6",56.7291
235,"01254",FALSE,38,"type|1|1","Female","TYPEM4-1","csp_5_5","edu1-3",41.7004
238,"01261",FALSE,57,"type|1|1","Male","TYPEM4-2","csp_6_7","edu1-3",46.2533
242,"01263",FALSE,58,"type|2|1","Female","TYPEM1-2","csp_8_5","edu1",56.5584
244,"01265",FALSE,78,"type|2|1","Female","TYPEM4-4","csp_7_7","edu1-1",48.4787
247,"01265",FALSE,45,"type|1|1","Male","TYPEM4-1","csp_6_7","edu3",51.2188
251,"01266",FALSE,90,"type|2|5","Female","TYPEM1-2","csp_8_6","edu1-2",52.5695
252,"01266",FALSE,62,"type|2|1","Female","TYPEM4-4","csp_7_5","edu1-3",43.9045
254,"01269",FALSE,45,"type|1|1","Female","TYPEM4-1","csp_5_5","edu1-6",44.9599
256,"01276",FALSE,47,"type|1|2","Male","TYPEM4-3","csp_5_5","edu1-3",53.5226
257,"01276",FALSE,66,"type|1|1","Male","TYPEM4-2","csp_3_3","edu1-8",69.5901
258,"01281",FALSE,59,"type|1|1","Female","TYPEM4-3","csp_4_2","edu1-6",71.4745
259,"01281",FALSE,50,"type|1|1","Male","TYPEM4-1","csp_3_8","edu1-6",63.5795
261,"01283",FALSE,87,"type|2|1","Female","TYPEM1-2","csp_7_7","edu3",47.2631
263,"01283",FALSE,72,"type|2|1","Female","TYPEM1-2","csp_7_8","edu1-4",55.9833
265,"01283",FALSE,19,"type|2|5","Female","TYPEM4-3","csp_8_5","edu1-5",46.0361
267,"01283",TRUE,21,"type|2|2","Female","TYPEM4-1","csp_8_4","edu1-5",86.227
268,"01283",FALSE,67,"type|2|1","Female","TYPEM4-1","csp_7_5","edu1",57.1558
269,"01283",FALSE,32,"type|1|1","Female","TYPEM3-2","csp_6_2","edu1-2",51.0336
270,"01283",TRUE,23,"type|1|1","Male","TYPEM4-1","csp_6_8","edu1-5",74.9578
271,"01283",FALSE,56,"type|1|1","Male","TYPEM4-1","csp_6_3","edu1-3",57.6783
272,"01286",FALSE,71,"type|2|1","Female","TYPEM4-4","csp_7_7","edu1-1",48.0368
276,"01289",FALSE,57,"type|1|1","Female","TYPEM4-1","csp_5_2","edu1-4",47.7524
277,"01289",FALSE,71,"type|2|1","Male","TYPEM4-4","csp_7_8","edu1-3",53.8558
278,"01289",FALSE,35,"type|1|1","Male","TYPEM4-2","csp_5_3","edu1-6",51.5761
279,"01289",FALSE,54,"type|1|1","Male","TYPEM4-1","csp_6_8","edu3",47.4835
283,"01297",FALSE,31,"type|1|1","Male","TYPEM4-2","csp_6_2","edu1-7",72.6455
284,"01299",FALSE,61,"type|1|1","Female","TYPEM1-2","csp_5_2","edu1-6",61.1938
286,"01303",FALSE,53,"type|1|2","Female","TYPEM4-2","csp_5_2","edu3",49.6176
288,"01304",FALSE,62,"type|1|1","Male","TYPEM4-2","csp_4_7","edu1-6",65.1101
292,"01313",TRUE,19,"type|2|2","Female","TYPEM3-1","csp_8_4","edu1-2",79.3166
294,"01318",FALSE,27,"type|1|1","Female","TYPEM4-1","csp_5_6","edu1-5",58.5119
299,"01333",FALSE,66,"type|2|1","Male","TYPEM4-4","csp_7_8","edu1-3",51.4302
303,"01339",FALSE,56,"type|1|1","Female","TYPEM4-1","csp_6_8","edu1-3",58.2301
305,"01342",TRUE,21,"type|1|1","Male","TYPEM4-1","csp_6_2","edu1-5",63.2626
310,"01343",FALSE,70,"type|2|1","Female","TYPEM4-4","csp_7_7","edu1-1",49.3661
311,"01344",FALSE,58,"type|2|5","Male","TYPEM4-3","csp_8_5","edu1-1",59.1128
315,"01347",FALSE,43,"type|1|1","Male","TYPEM4-2","csp_6_2","edu1-3",48.4442
316,"01348",FALSE,55,"type|1|1","Male","TYPEM4-1","csp_4_6","edu1-6",71.324
318,"01348",FALSE,43,"type|1|1","Male","TYPEM4-2","csp_6_2","edu1-3",53.8884
319,"01348",FALSE,72,"type|2|1","Male","TYPEM4-4","csp_7_2","edu1-8",62.8677
320,"01348",FALSE,58,"type|1|1","Female","TYPEM4-1","csp_5_6","edu1-3",64.8262
321,"01348",FALSE,21,"type|1|2","Female","TYPEM3-2","csp_8_1","edu1-4",51.2395
324,"01350",FALSE,52,"type|1|1","Female","TYPEM4-1","csp_4_6","edu1-4",63.5249
325,"01351",FALSE,77,"type|2|1","Male","TYPEM4-4","csp_7_2","edu1-3",54.6334
326,"01354",FALSE,86,"type|2|1","Female","TYPEM4-2","csp_7_7","edu2",53.2935
327,"01354",FALSE,58,"type|1|1","Female","TYPEM1-2","csp_4_5","edu1-3",58.405
328,"01354",FALSE,65,"type|1|2","Male","TYPEM1-1","csp_3_5","edu1-8",71.6156
330,"01354",FALSE,40,"type|1|1","Male","TYPEM4-2","csp_6_3","edu1-5",54.2419
331,"01354",FALSE,29,"type|1|1","Male","TYPEM4-2","csp_5_4","edu1-7",58.972
332,"01354",FALSE,46,"type|1|1","Female","TYPEM4-1","csp_5_2","edu1-4",51.4117
334,"01361",TRUE,18,"type|2|2","Male","TYPEM4-1","csp_8_4","edu1-2",86.3286
338,"01364",FALSE,82,"type|2|1","Female","TYPEM1-2","csp_7_7","edu1-2",49.6926
339,"01365",FALSE,46,"type|1|2","Male","TYPEM4-3","csp_3_7","edu1-6",67.1715
341,"01371",FALSE,66,"type|2|1","Male","TYPEM4-4","csp_7_5","edu1-6",53.822
342,"01371",FALSE,74,"type|2|1","Male","TYPEM4-4","csp_7_2","edu1-3",56.1702
343,"01373",FALSE,51,"type|1|1","Female","TYPEM4-1","csp_5_4","edu1-3",37.4709
345,"01374",FALSE,39,"type|2|4","Female","TYPEM3-2","csp_8_5","edu3",35.358
346,"01375",FALSE,62,"type|2|5","Male","TYPEM3-2","csp_8_6","edu3",54.6469
347,"01376",FALSE,78,"type|2|1","Female","TYPEM4-4","csp_7_7","edu1-3",44.5343
348,"01376",FALSE,31,"type|1|2","Female","TYPEM4-2","csp_4_6","edu1-5",59.2829
351,"01376",FALSE,78,"type|2|1","Male","TYPEM4-4","csp_7_1","edu1-1",55.5715
356,"01380",FALSE,43,"type|1|1","Male","TYPEM4-1","csp_4_6","edu1-4",73.6898
357,"01384",FALSE,26,"type|1|1","Female","TYPEM4-1","csp_4_3","edu1-5",69.4349
360,"01385",FALSE,60,"type|1|1","Male","TYPEM4-1","csp_4_5","edu1-3",70.4762
362,"01389",FALSE,62,"type|2|5","Male","TYPEM4-3","csp_8_5","edu1-7",72.4003
363,"01389",FALSE,51,"type|1|2","Female","TYPEM1-2","csp_5_6","edu1-3",52.5105
364,"01389",FALSE,56,"type|1|1","Female","TYPEM4-3","csp_5_6","edu1-3",52.6872
365,"01390",FALSE,26,"type|1|1","Male","TYPEM4-1","csp_6_3","edu1-5",67.3748
366,"01393",FALSE,84,"type|2|1","Female","TYPEM4-4","csp_7_5","edu3",37.5952
368,"01398",FALSE,73,"type|2|1","Female","TYPEM3-2","csp_7_7","edu1-3",44.8302
369,"01398",FALSE,31,"type|1|1","Female","TYPEM4-3","csp_5_6","edu1-3",51.0498
370,"01399",FALSE,30,"type|1|1","Male","TYPEM4-1","csp_5_2","edu1-2",40.0617
371,"01401",FALSE,94,"type|2|1","Female","TYPEM1-2","csp_7_2","edu1-1",54.902
372,"01401",FALSE,70,"type|2|1","Male","TYPEM1-1","csp_7_7","edu1-3",55.1399
375,"01405",FALSE,30,"type|1|2","Male","TYPEM4-3","csp_3_1","edu1-8",76.0937
376,"01411",FALSE,57,"type|1|1","Female","TYPEM3-2","csp_6_7","edu1-1",50.1536
377,"01412",FALSE,48,"type|1|1","Male","TYPEM4-1","csp_4_7","edu1-3",45.897
379,"01416",FALSE,90,"type|2|1","Female","TYPEM1-2","csp_7_8","edu1-1",48.1218
380,"01418",FALSE,94,"type|2|1","Female","TYPEM3-2","csp_7_5","edu1-7",53.5132
381,"01418",FALSE,22,"type|1|1","Male","TYPEM4-1","csp_6_3","edu1-5",57.651
384,"01422",TRUE,17,"type|2|2","Male","TYPEM3-2","csp_8_4","edu1-2",81.6166
386,"01424",FALSE,60,"type|1|1","Female","TYPEM4-3","csp_4_2","edu1-3",49.6782
387,"01425",FALSE,53,"type|1|1","Female","TYPEM4-1","csp_3_3","edu1-8",58.618
388,"01426",FALSE,51,"type|1|1","Female","TYPEM4-1","csp_6_2","edu2",61.6434
394,"01429",FALSE,65,"type|2|5","Female","TYPEM4-1","csp_8_6","edu3",51.7607
403,"01447",FALSE,49,"type|1|1","Female","TYPEM4-1","csp_5_2","edu1-4",57.0995
407,"01450",TRUE,16,"type|2|2","Female","TYPEM4-1","csp_8_4","edu1-2",82.7487
408,"01450",TRUE,25,"type|2|2","Male","TYPEM3-2","csp_8_4","edu1-8",86.6401
410,"01452",TRUE,15,"type|2|2","Female","TYPEM3-2","csp_8_5","edu3",66.1965
412,"02010",FALSE,65,"type|2|1","Female","TYPEM4-4","csp_7_1","edu1-5",45.3318
413,"02016",FALSE,41,"type|1|1","Female","TYPEM3-2","csp_4_6","edu2",58.9609
415,"02028",FALSE,63,"type|2|1","Female","TYPEM1-2","csp_7_5","edu1-3",43.429
416,"02037",TRUE,15,"type|2|2","Male","TYPEM4-3","csp_8_5","edu3",73.368
417,"02050",TRUE,17,"type|2|2","Male","TYPEM4-1","csp_8_4","edu1-2",86.8888
418,"02050",FALSE,23,"type|1|1","Female","TYPEM4-1","csp_5_5","edu1-6",54.1084
419,"02057",FALSE,80,"type|2|1","Male","TYPEM4-4","csp_7_1","edu2",68.4874
420,"02057",FALSE,61,"type|2|1","Female","TYPEM4-2","csp_7_8","edu2",46.5306
422,"02077",FALSE,66,"type|2|1","Female","TYPEM1-2","csp_7_7","edu1-1",46.8665
423,"02079",FALSE,91,"type|2|1","Female","TYPEM1-2","csp_7_4","edu2",52.4932
424,"02095",FALSE,81,"type|2|1","Male","TYPEM1-1","csp_7_7","edu1-3",61.8789
428,"02131",FALSE,63,"type|2|1","Female","TYPEM4-4","csp_7_7","edu1-1",48.7526
430,"02148",FALSE,73,"type|2|1","Female","TYPEM4-4","csp_7_7","edu1-1",49.9393
431,"02160",FALSE,26,"type|1|2","Male","TYPEM4-1","csp_6_4","edu3",57.6567
435,"02173",FALSE,40,"type|1|1","Female","TYPEM4-1","csp_3_8","edu1-6",70.4429
436,"02173",FALSE,39,"type|1|1","Female","TYPEM1-2","csp_5_4","edu1-6",53.4317
438,"02173",FALSE,66,"type|1|1","Male","TYPEM4-2","csp_2_1","edu1-3",60.8588
439,"02173",FALSE,33,"type|1|1","Male","TYPEM4-1","csp_6_7","edu3",48.1357
440,"02186",FALSE,39,"type|1|2","Male","TYPEM4-4","csp_6_7","edu1-4",61.9906
441,"02188",FALSE,76,"type|2|1","Female","TYPEM1-2","csp_7_7","edu3",42.1644
442,"02198",TRUE,15,"type|2|2","Female","TYPEM3-2","csp_8_4","edu3",64.5472
443,"02214",FALSE,64,"type|2|1","Male","TYPEM4-4","csp_7_7","edu1-1",54.59
445,"02217",FALSE,29,"type|1|1","Female","TYPEM4-1","csp_6_7","edu1-3",43.3542
449,"02229",TRUE,23,"type|2|2","Female","TYPEM2-0","csp_8_4","edu1-4",81.6838
450,"02232",TRUE,21,"type|1|1","Male","TYPEM4-1","csp_6_9","edu1-5",63.2979
452,"02245",FALSE,19,"type|1|2","Male","TYPEM3-1","csp_6_3","edu1-3",56.9181
455,"02258",FALSE,51,"type|1|1","Female","TYPEM4-1","csp_2_1","edu1-3",49.4207
456,"02262",FALSE,53,"type|1|1","Female","TYPEM4-1","csp_3_3","edu1-8",61.893
457,"02290",FALSE,28,"type|1|1","Male","TYPEM4-1","csp_6_2","edu1-3",50.5342
458,"02298",FALSE,32,"type|1|1","Male","TYPEM4-1","csp_4_6","edu1-4",55.8159
464,"02309",FALSE,52,"type|1|1","Female","TYPEM2-0","csp_6_7","edu3",23.4803
466,"02313",FALSE,55,"type|1|1","Female","TYPEM3-2","csp_5_2","edu3",34.906
467,"02321",FALSE,58,"type|1|2","Male","TYPEM4-3","csp_6_7","edu1-3",52.5992
468,"02332",TRUE,21,"type|1|1","Female","TYPEM2-0","csp_4_6","edu1-7",46.6423
470,"02333",FALSE,72,"type|2|1","Male","TYPEM4-4","csp_7_4","edu1-8",56.0924
473,"02340",FALSE,70,"type|2|1","Male","TYPEM4-3","csp_7_8","edu1-3",49.2187
478,"02360",TRUE,32,"type|1|1","Male","TYPEM1-1","csp_3_4","edu1-8",56.4131
480,"02381",TRUE,41,"type|1|1","Female","TYPEM2-0","csp_4_3","edu1-7",71.945
482,"02397",FALSE,95,"type|2|1","Male","TYPEM2-0","csp_7_8","edu1-1",59.8478
483,"02405",FALSE,28,"type|1|2","Male","TYPEM4-3","csp_6_2","edu1-3",53.6538
487,"02408",FALSE,39,"type|1|2","Male","TYPEM1-1","csp_6_2","edu1-5",54.3216
488,"02422",FALSE,21,"type|1|2","Male","TYPEM3-2","csp_6_3","edu3",46.9147
489,"02444",FALSE,67,"type|2|1","Female","TYPEM4-4","csp_7_7","edu1-2",45.2858
490,"02458",FALSE,41,"type|1|1","Male","TYPEM4-1","csp_3_8","edu1-6",65.944
491,"02458",FALSE,50,"type|1|1","Female","TYPEM4-1","csp_1_1","edu1-3",31.1182
494,"02476",FALSE,47,"type|1|2","Female","TYPEM4-4","csp_5_6","edu1",55.7373
495,"02481",FALSE,72,"type|2|1","Female","TYPEM1-2","csp_7_7","edu1-1",48.6957
496,"02488",FALSE,40,"type|2|5","Female","TYPEM3-2","csp_8_5","edu2",46.9869
498,"02500",FALSE,24,"type|1|1","Female","TYPEM4-1","csp_3_5","edu1-2",53.0685
499,"02520",FALSE,22,"type|1|1","Female","TYPEM3-1","csp_5_5","edu1-6",28.8202
502,"02532",FALSE,84,"type|2|1","Female","TYPEM1-2","csp_7_8","edu2",57.53
503,"02539",FALSE,62,"type|2|1","Male","TYPEM4-4","csp_7_5","edu1-3",48.6037
504,"02543",FALSE,28,"type|1|2","Female","TYPEM3-2","csp_8_1","edu1-5",58.1582
506,"02566",FALSE,39,"type|2|5","Female","TYPEM1-2","csp_8_5","edu1-6",55.2667
507,"02596",FALSE,41,"type|1|1","Female","TYPEM1-2","csp_5_4","edu1-6",57.18
508,"02596",FALSE,49,"type|1|1","Male","TYPEM4-1","csp_6_8","edu1-3",62.9456
509,"02602",FALSE,88,"type|2|1","Female","TYPEM1-2","csp_7_7","edu2",54.9807
510,"02620",FALSE,50,"type|1|1","Female","TYPEM4-1","csp_4_6","edu1-6",61.332
511,"02632",FALSE,51,"type|1|1","Male","TYPEM4-1","csp_3_1","edu1-8",68.3165
512,"02639",FALSE,39,"type|1|1","Male","TYPEM4-1","csp_6_7","edu1-3",54.9091
513,"02642",FALSE,82,"type|2|1","Female","TYPEM1-2","csp_7_7","edu1-1",47.5662
515,"02666",TRUE,15,"type|2|2","Female","TYPEM4-2","csp_8_4","edu3",66.7346
516,"02672",FALSE,71,"type|2|1","Male","TYPEM4-4","csp_7_8","edu1",56.307
518,"02680",FALSE,74,"type|2|1","Male","TYPEM1-1","csp_7_8","edu2",65.3465
521,"02691",FALSE,57,"type|1|1","Female","TYPEM1-2","csp_4_3","edu1-6",62.0145
522,"02691",FALSE,40,"type|1|1","Female","TYPEM1-2","csp_5_2","edu1-6",50.1927
523,"02691",FALSE,38,"type|1|1","Male","TYPEM3-1","csp_3_4","edu1-4",54.9213
525,"02691",TRUE,21,"type|2|2","Female","TYPEM1-2","csp_8_4","edu1-7",81.5969
527,"02691",FALSE,89,"type|2|1","Male","TYPEM4-4","csp_7_2","edu1-1",62.8757
530,"02691",FALSE,76,"type|2|1","Female","TYPEM4-4","csp_7_7","edu1-3",43.6361
531,"02691",FALSE,70,"type|2|1","Female","TYPEM4-4","csp_7_5","edu1-5",42.4478
